block-position;chunk-position;blockSize;chunkSize
-1592,6920;-100c8,432c8;11247/49640;57/240
-1608,6920;-101c8,432c8;11806/49640;58/240
-1624,6920;-102c8,432c8;11936/49640;56/240
-1640,6920;-103c8,432c8;11486/49640;55/240
-1656,6920;-104c8,432c8;11034/49640;57/240
-1560,6936;-98c8,433c8;10905/49640;55/240
-1592,6936;-100c8,433c8;12424/49640;58/240
-1608,6936;-101c8,433c8;12834/49640;60/240
-1624,6936;-102c8,433c8;12751/49640;61/240
-1640,6936;-103c8,433c8;12785/49640;59/240
-1656,6936;-104c8,433c8;12386/49640;60/240
-1672,6936;-105c8,433c8;11552/49640;57/240
-1560,6952;-98c8,434c8;12004/49640;58/240
-1576,6952;-99c8,434c8;13305/49640;59/240
-1592,6952;-100c8,434c8;13521/49640;64/240
-1608,6952;-101c8,434c8;14347/49640;62/240
-1624,6952;-102c8,434c8;13892/49640;64/240
-1640,6952;-103c8,434c8;13874/49640;64/240
-1656,6952;-104c8,434c8;13634/49640;64/240
-1672,6952;-105c8,434c8;12558/49640;62/240
-1688,6952;-106c8,434c8;11323/49640;55/240
-1544,6968;-97c8,435c8;11344/49640;59/240
-1560,6968;-98c8,435c8;12737/49640;60/240
-1576,6968;-99c8,435c8;13481/49640;62/240
-1592,6968;-100c8,435c8;14160/49640;65/240
-1608,6968;-101c8,435c8;15203/49640;64/240
-1624,6968;-102c8,435c8;14866/49640;64/240
-1640,6968;-103c8,435c8;14675/49640;63/240
-1656,6968;-104c8,435c8;14278/49640;65/240
-1672,6968;-105c8,435c8;13295/49640;64/240
-1688,6968;-106c8,435c8;12030/49640;56/240
-1544,6984;-97c8,436c8;11926/49640;60/240
-1560,6984;-98c8,436c8;13037/49640;60/240
-1576,6984;-99c8,436c8;13638/49640;61/240
-1592,6984;-100c8,436c8;13980/49640;64/240
-1608,6984;-101c8,436c8;14545/49640;65/240
-1624,6984;-102c8,436c8;14917/49640;65/240
-1640,6984;-103c8,436c8;14568/49640;65/240
-1656,6984;-104c8,436c8;14012/49640;65/240
-1672,6984;-105c8,436c8;13359/49640;61/240
-1688,6984;-106c8,436c8;12152/49640;55/240
-1544,7000;-97c8,437c8;12488/49640;58/240
-1560,7000;-98c8,437c8;13360/49640;61/240
-1576,7000;-99c8,437c8;14054/49640;60/240
-1592,7000;-100c8,437c8;13873/49640;64/240
-1608,7000;-101c8,437c8;14020/49640;63/240
-1624,7000;-102c8,437c8;14173/49640;63/240
-1640,7000;-103c8,437c8;14122/49640;63/240
-1656,7000;-104c8,437c8;13759/49640;62/240
-1672,7000;-105c8,437c8;12801/49640;61/240
-1688,7000;-106c8,437c8;12223/49640;56/240
-1544,7016;-97c8,438c8;12798/49640;57/240
-1560,7016;-98c8,438c8;13211/49640;59/240
-1576,7016;-99c8,438c8;13452/49640;61/240
-1592,7016;-100c8,438c8;13689/49640;60/240
-1608,7016;-101c8,438c8;13648/49640;60/240
-1624,7016;-102c8,438c8;13330/49640;60/240
-1640,7016;-103c8,438c8;13273/49640;59/240
-1656,7016;-104c8,438c8;12797/49640;58/240
-1672,7016;-105c8,438c8;12052/49640;57/240
-1688,7016;-106c8,438c8;11920/49640;55/240
-1544,7032;-97c8,439c8;12407/49640;57/240
-1560,7032;-98c8,439c8;12625/49640;58/240
-1576,7032;-99c8,439c8;12899/49640;56/240
-1592,7032;-100c8,439c8;12668/49640;58/240
-1608,7032;-101c8,439c8;12639/49640;58/240
-1624,7032;-102c8,439c8;12369/49640;57/240
-1640,7032;-103c8,439c8;11739/49640;57/240
-1672,7032;-105c8,439c8;11241/49640;55/240
-1544,7048;-97c8,440c8;11937/49640;55/240
-1560,7048;-98c8,440c8;12162/49640;56/240
-1576,7048;-99c8,440c8;11730/49640;55/240
-1592,7048;-100c8,440c8;11220/49640;56/240
-1560,7064;-98c8,441c8;11539/49640;56/240
-1576,7064;-99c8,441c8;11033/49640;55/240
-1560,7080;-98c8,442c8;11362/49640;55/240
